Sample_ID	Day	Hive	Site	Specimen	Treatment	S16S_log10
d0_Q2d	d0	Q2	Q	95	ProB	8.030894755
d0_Q2e	d0	Q2	Q	96	ProB	8.355518886
d0_Q2f	d0	Q2	Q	97	ProB	8.386046939
d0_Q2g	d0	Q2	Q	98	ProB	8.021818848
d0_Q5a	d0	Q5	Q	99	ProB	7.491107445
d0_Q5b	d0	Q5	Q	100	ProB	7.508250825
d0_Q5c	d0	Q5	Q	101	ProB	7.448019802
d0_Q5d	d0	Q5	Q	102	ProB	8.150165017
d0_Q5e	d0	Q5	Q	103	ProB	7.553171983
d0_Q5f	d0	Q5	Q	104	ProB	5.50375871
d0_Q5g	d0	Q5	Q	105	ProB	7.827282728
d0_Q6a	d0	Q6	Q	106	ProB	6.880363036
d0_Q6b	d0	Q6	Q	107	ProB	6.755592225
d0_Q6c	d0	Q6	Q	108	ProB	7.099926658
d0_Q6d	d0	Q6	Q	109	ProB	7.806930693
d0_Q6e	d0	Q6	Q	110	ProB	7.807664101
d0_Q6f	d0	Q6	Q	111	ProB	7.464246425
d0_Q6g	d0	Q6	Q	112	ProB	6.956087274
d0_Q7a	d0	Q7	Q	113	ProB	6.263476348
d0_Q7b	d0	Q7	Q	114	ProB	6.667858452
d0_Q7c	d0	Q7	Q	115	ProB	7.655023837
d0_Q7d	d0	Q7	Q	116	ProB	7.585991933
d0_Q7e	d0	Q7	Q	117	ProB	7.113311331
d0_Q7f	d0	Q7	Q	118	ProB	8.506508985
d0_Q7g	d0	Q7	Q	119	ProB	6.52374404
d0_Q8a	d0	Q8	Q	120	ProB	7.915474882
d0_Q8b	d0	Q8	Q	121	ProB	8.009717638
d0_Q8c	d0	Q8	Q	122	ProB	7.725522552
d0_Q8d	d0	Q8	Q	123	ProB	8.48303997
d0_Q8e	d0	Q8	Q	124	ProB	7.847909791
d0_Q8f	d0	Q8	Q	125	ProB	8.043270993
d0_Q8g	d0	Q8	Q	126	ProB	8.5110011
d0_Q9a	d0	Q9	Q	127	ProB	7.993124312
d0_Q9b	d0	Q9	Q	128	ProB	7.953336999
d0_Q9c	d0	Q9	Q	129	ProB	7.622295564
d0_Q9d	d0	Q9	Q	130	ProB	7.781353135
d0_Q9e	d0	Q9	Q	131	ProB	8.422167217
d0_Q9f	d0	Q9	Q	132	ProB	8.330399706
d0_Q9g	d0	Q9	Q	133	ProB	8.202511917
d21_P1a	d21	P1	P	134	ProB	8.640775865
d21_P1b	d21	P1	P	135	ProB	8.070657462
d21_P1c	d21	P1	P	136	ProB	8.473462975
d21_P1d	d21	P1	P	137	ProB	7.996653414
d21_P1e	d21	P1	P	138	ProB	8.775886546
d21_P1f	d21	P1	P	139	ProB	8.339181414
d21_P1g	d21	P1	P	140	ProB	8.675017331
d21_P10a	d21	P10	P	141	Tet	8.420992809
d21_P10b	d21	P10	P	142	Tet	7.43719727
d21_P10c	d21	P10	P	143	Tet	8.621179437
d21_P10d	d21	P10	P	144	Tet	5.247195304
d21_P10e	d21	P10	P	145	Tet	8.849772008
d21_P10f	d21	P10	P	146	Tet	8.124605469
d21_P10g	d21	P10	P	147	Tet	8.499901344
d21_P11a	d21	P11	P	148	Tet	7.26260043
d21_P11b	d21	P11	P	149	Tet	7.696915566
d21_P11c	d21	P11	P	150	Tet	8.120633169
d21_P11d	d21	P11	P	151	Tet	7.898023184
d21_P11e	d21	P11	P	152	Tet	7.860868057
d21_P11f	d21	P11	P	153	Tet	6.884763828
d21_P11g	d21	P11	P	154	Tet	8.33474571
d21_P12a	d21	P12	P	155	ProB	8.656624474
d21_P12b	d21	P12	P	156	ProB	8.461030934
d21_P12c	d21	P12	P	157	ProB	7.613048807
d21_P12d	d21	P12	P	158	ProB	8.645245667
d21_P12e	d21	P12	P	159	ProB	7.919949979
d21_P12f	d21	P12	P	160	ProB	8.744264439
d21_P12g	d21	P12	P	161	ProB	8.648710569
d21_P13a	d21	P13	P	162	Ctl	8.157077609
d21_P13b	d21	P13	P	163	Ctl	7.523840105
d21_P13c	d21	P13	P	164	Ctl	8.199532871
d21_P13d	d21	P13	P	165	Ctl	8.070673673
d21_P13e	d21	P13	P	166	Ctl	8.131542191
d21_P13f	d21	P13	P	167	Ctl	8.067015047
d21_P13g	d21	P13	P	168	Ctl	8.54272511
d21_P6a	d21	P6	P	169	Ctl	7.919756709
d21_P6b	d21	P6	P	170	Ctl	8.591343475
d21_P6c	d21	P6	P	171	Ctl	8.386161551
d21_P6d	d21	P6	P	172	Ctl	8.122044523
d21_P6e	d21	P6	P	173	Ctl	8.38487889
d21_P6f	d21	P6	P	174	Ctl	8.530655563
d21_P6g	d21	P6	P	175	Ctl	8.139730519
d21_P8a	d21	P8	P	176	Ctl	8.003892153
d21_P8b	d21	P8	P	177	Ctl	7.608960837
d21_P8c	d21	P8	P	178	Ctl	8.040307541
d21_P8d	d21	P8	P	179	Ctl	8.44708499
d21_P8e	d21	P8	P	180	Ctl	8.130725399
d21_P8f	d21	P8	P	181	Ctl	8.382228505
d21_P8g	d21	P8	P	182	Ctl	8.116591648
d21_Q1a	d21	Q1	Q	183	Tet	7.722541973
d21_Q1b	d21	Q1	Q	184	Tet	8.053416474
d21_Q1c	d21	Q1	Q	185	Tet	8.36741048
d21_Q1d	d21	Q1	Q	186	Tet	7.44243647
d21_Q1e	d21	Q1	Q	187	Tet	8.050592313
d21_Q1f	d21	Q1	Q	188	Tet	6.817858259
d21_Q1g	d21	Q1	Q	189	Tet	7.758215251
d21_Q10a	d21	Q10	Q	190	Tet	8.250125817
d21_Q10b	d21	Q10	Q	191	Tet	8.404304031
d21_Q10c	d21	Q10	Q	192	Tet	8.043786377
d21_Q10d	d21	Q10	Q	193	Tet	8.421288084
d21_Q10e	d21	Q10	Q	194	Tet	7.860630705
d21_Q10f	d21	Q10	Q	195	Tet	8.048150861
d21_Q10g	d21	Q10	Q	196	Tet	7.532211317
d21_Q11a	d21	Q11	Q	197	Ctl	6.289507257
d21_Q11b	d21	Q11	Q	198	Ctl	8.318861155
d21_Q11c	d21	Q11	Q	199	Ctl	8.426185743
d21_Q11d	d21	Q11	Q	200	Ctl	8.68022584
d21_Q11e	d21	Q11	Q	201	Ctl	8.68543708
d21_Q11f	d21	Q11	Q	202	Ctl	9.062438404
d21_Q11g	d21	Q11	Q	203	Ctl	8.575687709
d21_Q12a	d21	Q12	Q	204	Ctl	8.340588944
d21_Q12b	d21	Q12	Q	205	Ctl	8.216581317
d21_Q12c	d21	Q12	Q	206	Ctl	8.423782818
d21_Q12d	d21	Q12	Q	207	Ctl	7.035844005
d21_Q12e	d21	Q12	Q	208	Ctl	8.36341432
d21_Q12f	d21	Q12	Q	209	Ctl	8.255535518
d21_Q12g	d21	Q12	Q	210	Ctl	8.817306151
d21_Q13a	d21	Q13	Q	211	Ctl	7.330136006
d21_Q13b	d21	Q13	Q	212	Ctl	7.64452398
d21_Q13c	d21	Q13	Q	213	Ctl	7.695204009
d21_Q13d	d21	Q13	Q	214	Ctl	8.479455977
